"CountryName","CountryCode","Country","Year","SeriesCode","EconIndMetric","EconomicIndictor"
"Australia","AUS","Australia",2011,"NE.EXP.GNFS.ZS",21.4450545807949,"Exports G & S Pct GDP"
"Australia","AUS","Australia",2012,"NE.EXP.GNFS.ZS",21.5046766110772,"Exports G & S Pct GDP"
"Australia","AUS","Australia",2013,"NE.EXP.GNFS.ZS",19.9862800968984,"Exports G & S Pct GDP"
"Australia","AUS","Australia",2014,"NE.EXP.GNFS.ZS",21.0969545582786,"Exports G & S Pct GDP"
"Australia","AUS","Australia",2015,"NE.EXP.GNFS.ZS",20.0692825992002,"Exports G & S Pct GDP"
"Australia","AUS","Australia",2016,"NE.EXP.GNFS.ZS",19.2698631393026,"Exports G & S Pct GDP"
"Australia","AUS","Australia",2017,"NE.EXP.GNFS.ZS",21.2253185048263,"Exports G & S Pct GDP"
"Australia","AUS","Australia",2018,"NE.EXP.GNFS.ZS",21.8697129487245,"Exports G & S Pct GDP"
"Australia","AUS","Australia",2019,"NE.EXP.GNFS.ZS",24.1697272878614,"Exports G & S Pct GDP"
"Australia","AUS","Australia",2020,"NE.EXP.GNFS.ZS",23.9838535266898,"Exports G & S Pct GDP"
"Australia","AUS","Australia",2011,"NY.GDP.MKTP.CD",1397907916789.9,"GDP"
"Australia","AUS","Australia",2012,"NY.GDP.MKTP.CD",1546508558465.66,"GDP"
"Australia","AUS","Australia",2013,"NY.GDP.MKTP.CD",1576335282651.07,"GDP"
"Australia","AUS","Australia",2014,"NY.GDP.MKTP.CD",1467504819608.92,"GDP"
"Australia","AUS","Australia",2015,"NY.GDP.MKTP.CD",1350534154255.76,"GDP"
"Australia","AUS","Australia",2016,"NY.GDP.MKTP.CD",1206685107002.47,"GDP"
"Australia","AUS","Australia",2017,"NY.GDP.MKTP.CD",1326882872011.46,"GDP"
"Australia","AUS","Australia",2018,"NY.GDP.MKTP.CD",1428529571351.06,"GDP"
"Australia","AUS","Australia",2019,"NY.GDP.MKTP.CD",1391952510370.48,"GDP"
"Australia","AUS","Australia",2020,"NY.GDP.MKTP.CD",1327836171068.51,"GDP"
"Australia","AUS","Australia",2011,"NY.GDP.MKTP.KD.ZG",2.46974629381731,"GDP Pct Growth"
"Australia","AUS","Australia",2012,"NY.GDP.MKTP.KD.ZG",3.91736246328504,"GDP Pct Growth"
"Australia","AUS","Australia",2013,"NY.GDP.MKTP.KD.ZG",2.60021188065653,"GDP Pct Growth"
"Australia","AUS","Australia",2014,"NY.GDP.MKTP.KD.ZG",2.56293152083389,"GDP Pct Growth"
"Australia","AUS","Australia",2015,"NY.GDP.MKTP.KD.ZG",2.17220475337416,"GDP Pct Growth"
"Australia","AUS","Australia",2016,"NY.GDP.MKTP.KD.ZG",2.74164306864724,"GDP Pct Growth"
"Australia","AUS","Australia",2017,"NY.GDP.MKTP.KD.ZG",2.29592694694063,"GDP Pct Growth"
"Australia","AUS","Australia",2018,"NY.GDP.MKTP.KD.ZG",2.87097248021668,"GDP Pct Growth"
"Australia","AUS","Australia",2019,"NY.GDP.MKTP.KD.ZG",2.11314942462376,"GDP Pct Growth"
"Australia","AUS","Australia",2020,"NY.GDP.MKTP.KD.ZG",-0.00383655856659004,"GDP Pct Growth"
"Australia","AUS","Australia",2011,"NE.IMP.GNFS.ZS",20.4123991993782,"Imports G & S Pct GDP"
"Australia","AUS","Australia",2012,"NE.IMP.GNFS.ZS",21.6727652413249,"Imports G & S Pct GDP"
"Australia","AUS","Australia",2013,"NE.IMP.GNFS.ZS",21.289801061405,"Imports G & S Pct GDP"
"Australia","AUS","Australia",2014,"NE.IMP.GNFS.ZS",21.3759568810043,"Imports G & S Pct GDP"
"Australia","AUS","Australia",2015,"NE.IMP.GNFS.ZS",21.5563387787263,"Imports G & S Pct GDP"
"Australia","AUS","Australia",2016,"NE.IMP.GNFS.ZS",21.5478988311826,"Imports G & S Pct GDP"
"Australia","AUS","Australia",2017,"NE.IMP.GNFS.ZS",20.714437559185,"Imports G & S Pct GDP"
"Australia","AUS","Australia",2018,"NE.IMP.GNFS.ZS",21.5125131175846,"Imports G & S Pct GDP"
"Australia","AUS","Australia",2019,"NE.IMP.GNFS.ZS",21.6753124505454,"Imports G & S Pct GDP"
"Australia","AUS","Australia",2020,"NE.IMP.GNFS.ZS",20.0556726199551,"Imports G & S Pct GDP"
"Australia","AUS","Australia",2011,"TG.VAL.TOTL.GD.ZS",36.8718135013943,"Merch Trade Pct GDP"
"Australia","AUS","Australia",2012,"TG.VAL.TOTL.GD.ZS",33.4699085347152,"Merch Trade Pct GDP"
"Australia","AUS","Australia",2013,"TG.VAL.TOTL.GD.ZS",31.4096249350778,"Merch Trade Pct GDP"
"Australia","AUS","Australia",2014,"TG.VAL.TOTL.GD.ZS",32.5264349133247,"Merch Trade Pct GDP"
"Australia","AUS","Australia",2015,"TG.VAL.TOTL.GD.ZS",29.3354298927986,"Merch Trade Pct GDP"
"Australia","AUS","Australia",2016,"TG.VAL.TOTL.GD.ZS",32.2184302883919,"Merch Trade Pct GDP"
"Australia","AUS","Australia",2017,"TG.VAL.TOTL.GD.ZS",34.6610096264794,"Merch Trade Pct GDP"
