Economic State,Geographic,Country,Continent,Top20,TradeGroup
Advanced Economies,Euro-zone,Austria,Europe,,European Union
Advanced Economies,Euro-zone,Belgium,Europe,,European Union
Advanced Economies,Euro-zone,Belgium-Luxembourg,Europe,,
Advanced Economies,Euro-zone,Cyprus,Europe,,European Union
Advanced Economies,Euro-zone,Estonia,Europe,,European Union
Advanced Economies,Euro-zone,Finland,Europe,,European Union
Advanced Economies,Euro-zone,France,Europe,Top20,European Union
Advanced Economies,Euro-zone,Germany,Europe,Top20,European Union
Advanced Economies,Euro-zone,Greece,Europe,,European Union
Advanced Economies,Euro-zone,Ireland,Europe,,European Union
Advanced Economies,Euro-zone,Italy,Europe,Top20,European Union
Advanced Economies,Euro-zone,Latvia,Europe,,European Union
Advanced Economies,Euro-zone,Lithuania,Europe,,European Union
Advanced Economies,Euro-zone,Luxembourg,Europe,,European Union
Advanced Economies,Euro-zone,Malta,Europe,,European Union
Advanced Economies,Euro-zone,Netherlands,Europe,Top20,European Union
Advanced Economies,Euro-zone,Portugal,Europe,,European Union
Advanced Economies,Euro-zone,Slovak Rep.,Europe,,European Union
Advanced Economies,Euro-zone,Slovenia,Europe,,European Union
Advanced Economies,Euro-zone,Spain,Europe,Top20,European Union
Advanced Economies,,Australia,Australia,Top20,
Advanced Economies,,Canada,North America,Top20,NAFTA
Advanced Economies,,Hong Kong,Asia,,
Advanced Economies,,Macau,Asia,,
Advanced Economies,,Czech Republic,Europe,,European Union
Advanced Economies,,Denmark,Europe,,European Union
Advanced Economies,,Iceland,Europe,,
Advanced Economies,,Israel,Europe,,
Advanced Economies,,Japan,Asia,Top20,
Advanced Economies,,South Korea,Asia,Top20,
Advanced Economies,,New Zealand,Oceania,,
Advanced Economies,,Norway,Europe,,
Advanced Economies,,"San Marino, Rep. of",Europe,,
Advanced Economies,,Singapore,Asia,,
Advanced Economies,,Sweden,Europe,,European Union
Advanced Economies,,Switzerland,Europe,Top20,
Advanced Economies,,Taiwan Province of China,Asia,,
Advanced Economies,,United Kingdom,Europe,Top20,
Advanced Economies,,United States,North America,Top20,NAFTA
Advanced Economies,,Holy See,Europe,,
Emerging and Developing Economies,Emerging and Developing Asia,American Samoa,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Bangladesh,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Bhutan,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Brunei Darussalam,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Cambodia,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,China,Asia,Top20,
Emerging and Developing Economies,Emerging and Developing Asia,Fiji,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,French Polynesia,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Guam,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,India,Asia,Top20,
Emerging and Developing Economies,Emerging and Developing Asia,Indonesia,Asia,Top20,
Emerging and Developing Economies,Emerging and Developing Asia,Kiribati,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Laos,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Malaysia,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Maldives,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,"Marshall Islands, Rep. of the",Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,"Micronesia, Federated States of",Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Mongolia,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Myanmar,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,"Nauru, Rep. of",Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Nepal,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,New Caledonia,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,"Palau, Rep. of",Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Papua New Guinea,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Philippines,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Samoa,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Solomon Islands,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Sri Lanka,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Thailand,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,"Timor-Leste, Dem. Rep. of",Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Tonga,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Tuvalu,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Vanuatu,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Vietnam,Asia,,
Emerging and Developing Economies,Emerging and Developing Asia,Asia not specified,Asia,,
Emerging and Developing Economies,Emerging and Developing Europe,Albania,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Belarus,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Bosnia and Herzegovina,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Bulgaria,Europe,,European Union
Emerging and Developing Economies,Emerging and Developing Europe,Croatia,Europe,,European Union
Emerging and Developing Economies,Emerging and Developing Europe,Slovakia,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Faeroe Islands,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Gibraltar,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Hungary,Europe,,European Union
Emerging and Developing Economies,Emerging and Developing Europe,"Kosovo, Rep. of",Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Moldova,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Montenegro,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Macedonia,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Poland,Europe,,European Union
Emerging and Developing Economies,Emerging and Developing Europe,Romania,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Russia,Europe,Top20,
Emerging and Developing Economies,Emerging and Developing Europe,Serbia,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Turkey,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Yugoslavia,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Ukraine,Europe,,
Emerging and Developing Economies,Emerging and Developing Europe,Europe not specified,Europe,,
Emerging and Developing Economies,Middle East and Central Asia,Afghanistan,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Algeria,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Armenia,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Azerbaijan,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Bahrain,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Djibouti,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Egypt,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Georgia,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Iran,Arab World,Top20,
Emerging and Developing Economies,Middle East and Central Asia,Iraq,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Jordan,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Kazakhstan,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Kuwait,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Kyrgyzstan,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Lebanon,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Libya,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Mauritania,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Morocco,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Oman,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Pakistan,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Qatar,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Saudi Arabia,Arab World,Top20,
Emerging and Developing Economies,Middle East and Central Asia,Somalia,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Sudan,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Syria,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Tajikistan,Arab World,,
