Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%).1,Imports ($M),RtW (%).2,Net Exports ($M),Exports Ticker,Imports Ticker,country,year
China,139714.0,28.28,90132.2,35.67,49581.8,20.54,40550.4,924D1193 Index,193D1924 Index,Australia,2014
Japan,64576.7,13.07,48127.3,19.05,16449.4,6.81,31677.9,158D1193 Index,193D1158 Index,Australia,2014
European Union,54871.2,11.11,12268.6,4.86,42602.6,17.65,-30334.0,998D1193 Index,193D1998 Index,Australia,2014
United States,36313.1,7.35,10671.8,4.22,25641.3,10.62,-14969.5,111D1193 Index,193D1111 Index,Australia,2014
South Korea,31668.5,6.41,20413.1,8.08,11255.4,4.66,9157.7,542D1193 Index,193D1542 Index,Australia,2014
Malaysia,16919.97,3.42,6188.77,2.45,10731.2,4.44,-4542.43,548D1193 Index,193D1548 Index,Australia,2014
Singapore,16781.17,3.4,4681.27,1.85,12099.9,5.01,-7418.63,576D1193 Index,193D1576 Index,Australia,2014
Thailand,14935.74,3.02,4527.14,1.79,10408.6,4.31,-5881.46,578D1193 Index,193D1578 Index,Australia,2014
Germany,13112.55,2.65,1770.85,0.7,11341.7,4.7,-9570.85,134D1193 Index,193D1134 Index,Australia,2014
India,12958.48,2.62,10004.1,3.96,2954.38,1.22,7049.72,534D1193 Index,193D1534 Index,Australia,2014
New Zealand,12698.44,2.57,5188.15,2.05,7510.29,3.11,-2322.14,196D1193 Index,193D1196 Index,Australia,2014
Indonesia,11558.85,2.34,5647.5,2.24,5911.35,2.45,-263.85,536D1193 Index,193D1536 Index,Australia,2014
United Kingdom,9082.87,1.84,3268.89,1.29,5813.98,2.41,-2545.09,112D1193 Index,193D1112 Index,Australia,2014
Vietnam,6797.74,1.38,2057.83,0.81,4739.91,1.96,-2682.08,582D1193 Index,193D1582 Index,Australia,2014
Italy,6448.65,1.31,680.12,0.27,5768.53,2.39,-5088.41,136D1193 Index,193D1136 Index,Australia,2014
Papua New Guinea,5744.07,1.16,2192.1,0.87,3551.97,1.47,-1359.87,853D1193 Index,193D1853 Index,Australia,2014
United Arab Emirates,5176.56,1.05,2531.93,1.0,2644.63,1.1,-112.7,466D1193 Index,193D1466 Index,Australia,2014
France,5084.76,1.03,1017.52,0.4,4067.24,1.68,-3049.72,132D1193 Index,193D1132 Index,Australia,2014
Netherlands,3963.08,0.8,2102.62,0.83,1860.46,0.77,242.16,138D1193 Index,193D1138 Index,Australia,2014
Spain,3708.31,0.75,756.29,0.3,2952.02,1.22,-2195.73,184D1193 Index,193D1184 Index,Australia,2014
Canada,3329.4,0.67,1383.49,0.55,1945.91,0.81,-562.42,156D1193 Index,193D1156 Index,Australia,2014
Switzerland,3303.56,0.67,603.93,0.24,2699.63,1.12,-2095.7,146D1193 Index,193D1146 Index,Australia,2014
Hong Kong,3300.28,0.67,2157.41,0.85,1142.87,0.47,1014.54,532D1193 Index,193D1532 Index,Australia,2014
Belgium,3075.33,0.62,1405.55,0.56,1669.78,0.69,-264.23,124D1193 Index,193D1124 Index,Australia,2014
Saudi Arabia,2708.12,0.55,2301.6,0.91,406.52,0.17,1895.09,456D1193 Index,193D1456 Index,Australia,2014
Mexico,2469.95,0.5,586.75,0.23,1883.2,0.78,-1296.45,273D1193 Index,193D1273 Index,Australia,2014
Sweden,2259.52,0.46,305.64,0.12,1953.88,0.81,-1648.24,144D1193 Index,193D1144 Index,Australia,2014
South Africa,2023.8,0.41,1158.57,0.46,865.23,0.36,293.34,199D1193 Index,193D1199 Index,Australia,2014
Philippines,1992.56,0.4,861.66,0.34,1130.9,0.47,-269.24,566D1193 Index,193D1566 Index,Australia,2014
Russia,1929.55,0.39,673.13,0.27,1256.42,0.52,-583.29,922D1193 Index,193D1922 Index,Australia,2014
Nigeria,1790.63,0.36,225.95,0.09,1564.68,0.65,-1338.73,694D1193 Index,193D1694 Index,Australia,2014
Brazil,1730.03,0.35,1157.04,0.46,572.99,0.24,584.05,223D1193 Index,193D1223 Index,Australia,2014
Ireland,1616.05,0.33,113.01,0.04,1503.04,0.62,-1390.03,178D1193 Index,193D1178 Index,Australia,2014
Turkey,1266.46,0.26,544.15,0.22,722.31,0.3,-178.16,186D1193 Index,193D1186 Index,Australia,2014
Chile,1204.19,0.24,292.18,0.12,912.02,0.38,-619.84,228D1193 Index,193D1228 Index,Australia,2014
